group_1,group_2,n_1,n_2,median_1,median_2,median_diff_1_minus_2,u_statistic,p_value,p_adj_holm,reject_0.05,sig
대전,세종특별자치시,18,5,9.629613969350121,9.356170820187725,0.27344314916239654,53.0,0.587357722369164,1.0,False,n.s.
대전,서울,18,172,9.629613969350121,9.60580548123146,0.023808488118660875,1586.0,0.865851573666364,1.0,False,n.s.
대전,인천,18,36,9.629613969350121,10.281883314102501,-0.65226934475238,322.0,0.9780408859692347,1.0,False,n.s.
대전,전남,18,101,9.629613969350121,9.6067647354322,0.022849233917920486,996.5,0.5187647213697837,1.0,False,n.s.
대전,전북,18,20,9.629613969350121,9.416350056279093,0.2132639130710281,210.0,0.38841926798045856,1.0,False,n.s.
대전,울산,18,11,9.629613969350121,10.452793230619966,-0.8231792612698445,69.0,0.1848640786801774,1.0,False,n.s.
경남,대구,82,24,10.102374139647317,9.70830750422784,0.3940666354194775,1050.5,0.6183199697836013,1.0,False,n.s.
강원특별자치도,부산,94,35,9.77033365003001,9.771726021353874,-0.0013923713238650492,1610.0,0.8549982884613945,1.0,False,n.s.
강원특별자치도,서울,94,172,9.77033365003001,9.60580548123146,0.16452816879854915,8258.5,0.7717346846548003,1.0,False,n.s.
강원특별자치도,세종특별자치시,94,5,9.77033365003001,9.356170820187725,0.4141628298422848,265.0,0.6373668371672712,1.0,False,n.s.
강원특별자치도,울산,94,11,9.77033365003001,10.452793230619966,-0.6824595805899563,298.0,0.022235282547967673,1.0,False,n.s.
강원특별자치도,인천,94,36,9.77033365003001,10.281883314102501,-0.5115496640724917,1594.5,0.6137820091528473,1.0,False,n.s.
강원,전북특별자치도,17,38,9.62476522145582,10.471695434556045,-0.8469302131002241,247.0,0.1691072951571948,1.0,False,n.s.
강원,부산,17,35,9.62476522145582,9.771726021353874,-0.14696079989805355,274.0,0.653673448664968,1.0,False,n.s.
부산,인천,35,36,9.771726021353874,10.281883314102501,-0.5101572927486266,616.5,0.8811449346166994,1.0,False,n.s.
부산,울산,35,11,9.771726021353874,10.452793230619966,-0.6810672092660912,137.0,0.15666978006207197,1.0,False,n.s.
부산,세종특별자치시,35,5,9.771726021353874,9.356170820187725,0.41555520116614986,93.0,0.8429350403034614,1.0,False,n.s.
부산,서울,35,172,9.771726021353874,9.60580548123146,0.1659205401224142,3076.0,0.8393148884738406,1.0,False,n.s.
대전,충북,18,48,9.629613969350121,9.383129695534837,0.24648427381528393,492.5,0.38763540385251727,1.0,False,n.s.
대전,충남,18,70,9.629613969350121,9.848306928283193,-0.2186929589330724,623.5,0.950508727665602,1.0,False,n.s.
대전,제주,18,20,9.629613969350121,10.568130553046787,-0.938516583696666,147.0,0.3420379772163513,1.0,False,n.s.
대전,전북특별자치도,18,38,9.629613969350121,10.471695434556045,-0.8420814652059239,299.5,0.4612107164704553,1.0,False,n.s.
서울,세종특별자치시,172,5,9.60580548123146,9.356170820187725,0.24963466104373566,462.0,0.7803236456827464,1.0,False,n.s.
서울,울산,172,11,9.60580548123146,10.452793230619966,-0.8469877493885054,636.0,0.06919853831877626,1.0,False,n.s.
서울,전남,172,101,9.60580548123146,9.6067647354322,-0.0009592542007403893,8925.5,0.7043305285657724,1.0,False,n.s.
부산,전북특별자치도,35,38,9.771726021353874,10.471695434556045,-0.6999694132021705,570.0,0.2967297964981902,1.0,False,n.s.
부산,제주,35,20,9.771726021353874,10.568130553046787,-0.7964045316929127,276.0,0.1984493035920124,1.0,False,n.s.
부산,충남,35,70,9.771726021353874,9.848306928283193,-0.07658090692931907,1212.5,0.9349873425979336,1.0,False,n.s.
부산,충북,35,48,9.771726021353874,9.383129695534837,0.38859632581903725,953.0,0.2995364211267445,1.0,False,n.s.
부산,전남,35,101,9.771726021353874,9.6067647354322,0.1649612859216738,1908.0,0.4858701246364766,1.0,False,n.s.
서울,충남,172,70,9.60580548123146,9.848306928283193,-0.24250144705173327,5717.5,0.5407873483724552,1.0,False,n.s.
서울,충북,172,48,9.60580548123146,9.383129695534837,0.22267578569662305,4556.0,0.27292621158560404,1.0,False,n.s.
세종특별자치시,인천,5,36,9.356170820187725,10.281883314102501,-0.9257124939147765,77.0,0.6184450604445264,1.0,False,n.s.
세종특별자치시,울산,5,11,9.356170820187725,10.452793230619966,-1.096622410432241,13.0,0.11492673992673993,1.0,False,n.s.
세종특별자치시,전북,5,20,9.356170820187725,9.416350056279093,-0.06017923609136844,49.0,0.9728972096787447,1.0,False,n.s.
세종특별자치시,전북특별자치도,5,38,9.356170820187725,10.471695434556045,-1.1155246143683204,73.0,0.4268697836480026,1.0,False,n.s.
세종특별자치시,제주,5,20,9.356170820187725,10.568130553046787,-1.2119597328590626,29.0,0.16901938641069073,1.0,False,n.s.
세종특별자치시,전남,5,101,9.356170820187725,9.6067647354322,-0.25059391524447605,236.0,0.811540574140435,1.0,False,n.s.
세종특별자치시,제주특별자치도,5,57,9.356170820187725,11.345902288920296,-1.9897314687325718,70.0,0.06268010291119488,1.0,False,n.s.
세종특별자치시,충남,5,70,9.356170820187725,9.848306928283193,-0.4921361080954689,149.0,0.5880790478322702,1.0,False,n.s.
울산,인천,11,36,10.452793230619966,10.281883314102501,0.17090991651746457,261.0,0.1163075780042222,1.0,False,n.s.
서울,인천,172,36,9.60580548123146,10.281883314102501,-0.6760778328710408,3013.0,0.8016421421272654,1.0,False,n.s.
서울,전북,172,20,9.60580548123146,9.416350056279093,0.18945542495236722,1868.0,0.5306005460557452,1.0,False,n.s.
서울,전북특별자치도,172,38,9.60580548123146,10.471695434556045,-0.8658899533245847,2766.0,0.13905116015852234,1.0,False,n.s.
서울,제주,172,20,9.60580548123146,10.568130553046787,-0.9623250718153269,1311.0,0.08243883505216992,1.0,False,n.s.
부산,전북,35,20,9.771726021353874,9.416350056279093,0.3553759650747814,404.0,0.3492361731409477,1.0,False,n.s.
울산,제주특별자치도,11,57,10.452793230619966,11.345902288920296,-0.8931090583003307,232.0,0.17731506178930112,1.0,False,n.s.
울산,제주,11,20,10.452793230619966,10.568130553046787,-0.11533732242682149,130.0,0.42077365861648097,1.0,False,n.s.
울산,전북특별자치도,11,38,10.452793230619966,10.471695434556045,-0.01890220393607933,236.0,0.5254383051741878,1.0,False,n.s.
울산,전남,11,101,10.452793230619966,9.6067647354322,0.846028495187765,826.0,0.008296862270467338,1.0,False,n.s.
세종특별자치시,충북,5,48,9.356170820187725,9.383129695534837,-0.02695887534711261,127.0,0.8431979068049875,1.0,False,n.s.
인천,전북,36,20,10.281883314102501,9.416350056279093,0.8655332578234081,429.0,0.24144392331248143,1.0,False,n.s.
인천,전남,36,101,10.281883314102501,9.6067647354322,0.6751185786703005,2020.5,0.32322158317913696,1.0,False,n.s.
울산,충남,11,70,10.452793230619966,9.848306928283193,0.6044863023367721,512.0,0.0811679948145607,1.0,False,n.s.
인천,충남,36,70,10.281883314102501,9.848306928283193,0.4335763858193076,1268.0,0.960095196183078,1.0,False,n.s.
인천,충북,36,48,10.281883314102501,9.383129695534837,0.8987536185676639,1001.5,0.2155843672004335,1.0,False,n.s.
전남,전북특별자치도,101,38,9.6067647354322,10.471695434556045,-0.8649306991238443,1462.5,0.031163743021741953,1.0,False,n.s.
전남,전북,101,20,9.6067647354322,9.416350056279093,0.1904146791531076,1119.0,0.448970247246372,1.0,False,n.s.
전남,제주,101,20,9.6067647354322,10.568130553046787,-0.9613658176145865,663.0,0.015609681051352974,1.0,False,n.s.
인천,전북특별자치도,36,38,10.281883314102501,10.471695434556045,-0.1898121204535439,599.0,0.3607899555296531,1.0,False,n.s.
인천,제주,36,20,10.281883314102501,10.568130553046787,-0.28624723894428605,295.0,0.2700426147480315,1.0,False,n.s.
울산,충북,11,48,10.452793230619966,9.383129695534837,1.0696635350851285,398.0,0.009366147721052258,1.0,False,n.s.
전북,전북특별자치도,20,38,9.416350056279093,10.471695434556045,-1.055345378276952,252.0,0.03699586322615841,1.0,False,n.s.
전남,충북,101,48,9.6067647354322,9.383129695534837,0.22363503989736344,2595.5,0.4872761886923179,1.0,False,n.s.
전남,충남,101,70,9.6067647354322,9.848306928283193,-0.24154219285099288,3220.5,0.3239385488319345,1.0,False,n.s.
